21,16.30 - 17.30,Ralf Seidl,55+5,Latest results on azimuthal anisotropy at RHIC-PHENIX
21,17.00 - 17.30,Elisaveta Zherebtsova,25+5,Procedure for event characterization in Pb-Pb collisions at 40AGeV in the NA49 experiment at CERN SPS
21,17.10 - 17.30,Laszlo Csernai,15+5,Applications of Advances in Relativistic Fluid Dynamics to Laser Fusion
21,17.10 - 17.30,Cristiano Sebastiani,15+5,Search for displaced lepton jets with the ATLAS experiment
21,17.10 - 17.30,Oleksii Ivanytskyi,15+5,On bimodal size distribution of spin clusters in the one-dimensional Ising model
22,05.30 - 06.00,Angelo Bassi,25+5,Models of spontaneous wave function collapse: what they are and how they can be tested
22,06.00 - 06.45,Michael Berry,40+5,Nature's optics and our understanding of light
22,06.45 - 07.30,Yakir Aharonov,40+5,Finally making sense of the double-slit experiment
22,08.00 - 08.30,Vincenzo Caracciolo,25+5,DAMA/LIBRA results and perspectives
22,08.00 - 08.30,Arkady Vainshtein,25+5,Some Aspects of Neutron-Antineutron Oscillation
22,08.00 - 08.30,Claude Fabre,25+5,"Quantum Frequency Combs: generation, characterization and applications"
22,08.00 - 08.40,Stephen Lars Olsen,35+5,The X(3872) and other charmonium puzzles
22,08.30 - 09.00,Nicolas Menicucci,25+5,Continuous quantum variables: from quantum computing to relativistic quantum information
22,08.30 - 09.00,Alexander Volya,25+5,Exploring collective modes in mesoscopic systems with new techniques
22,08.30 - 09.00,Petr Blaschke,25+5,"Pedal coordinate, dark Kepler and other force problems"
22,08.40 - 09.20,Xiao-Rui Lyu,35+5,Z_c states observed in pipi transitions to charmonium states
22,09.00 - 09.30,Martin Stahlberg,25+5,Direct dark matter search with ultra-low thresholds in the CRESST-III experiment
22,09.00 - 09.30,David Edward Bruschi,25+5,Work is the source of gravity
22,09.00 - 09.30,Peter Schuck,25+5,Quartet condensation in nuclear systems
22,09.20 - 10.00,Alex Bondar,35+5,Charged bottomonium-like states at Belle
22,09.30 - 10.00,Eduard Saperstein,25+5,Self-consistent description of particle-phonon coupling effects. Pole and tadpole diagrams.
22,09.30 - 10.00,Sorin Paraoanu,25+5,Tripartite continuous-variables coherence and entanglement from vacuum fluctuations
22,10.00 - 10.40,Zhi-yong Wang,35+5,Vector states above open charm threshold
22,10.00 - 10.30,Marek Ploszajczak,25+5,The Gamow Shell Model - Towards the unified theory of nuclear structure and reactions
22,12.00 - 12.30,Silvia Goy Lopez,25+5,Overview talk on detector performances (CMS)
22,12.00 - 12.40,Roman Mizuk,35+5,Vector bottomonium-like states at Belle
22,12.00 - 12.20,Alexander Rudenko,15+5,$f_1 (1285) \to e^+e^-$ decay and direct $f_1$ production in $e^+e^-$ collisions
22,12.00 - 12.25,Mina Katramatou,20+5,Active Learning Teaching for Introductory Physics
22,12.00 - 12.30,Keiko Nagao,25+5,Anisotropy of dark matter velocity distribution measured with directional detection
22,12.20 - 12.40,Luca Lista,15+5,Top-quark results at CMS
22,12.20 - 12.40,Avi Pe'er,15+5,Ultrafast Quantum Key Distribution with Ultra-Broad Squeezed Light
22,12.25 - 12.50,Gerassimos Petratos,20+5,Trends in Undergraduate Physics Education in the US
22,12.30 - 13.00,Boris Sharkov,25+5,New Capabilities of Modern Accelerators for Heavy Ion  Nuclear Physics
22,12.40 - 13.00,Kai Zhu,15+5,BES III future prospects in exotic hadron spectroscopy
22,12.40 - 13.00,Théo Torres Vicente,15+5,Observing superradiance in a vortex flow
22,13.30 - 14.00,Dmitry Karlovets,25+5,Quantum scattering beyond the plane-wave approximation
22,13.30 - 14.10,Tomasz Skwarnicki,35+5,Exotic meson candidates from amplitude analyses of B meson decays
22,13.30 - 14.00,Andrzej Dragan,25+5,Counting Unruh particles
22,13.30 - 13.55,Georgios Fanourakis,20+5,The European Researchers' Night: concepts and impact
22,13.30 - 14.00,Theodoros Geralis,25+5,Development of Micro Pattern Gas Detectors for HEP and Nucler Physics experiments and applications
22,13.55 - 14.20,Helen Gourlay,20+5,Learning about A Level Physics students’ understandings of particle physics using concept mapping
22,14.00 - 14.20,Maxime Jacquet,15+5,Mixing of positive and negative frequency waves at the optical horizon
